3-d;"3-D"
3d;""
a.m./p.m.;""
abbreviation;"ntwaso"
abort;"twa so prɛkopɛ"
aborted;"etwa so"
aborting;"retwa so"
about gnome;""
about me;""
about mozilla firefox;""
about panels;""
about;"fa"
above;"soro"
absolute link;""
absolute path;"kwankyerɛ pɛpɛɛpɛ"
absolute url;"URL pɛpɛɛpɛ"
absolute value;""
absolute;""
abstract;""
accelerator board;""
accelerator card;""
accelerator key;""
accelerator;"ntɛmboafo"
accent;"aksɛnt"
accept all;"gye ne nyinara to mu"
accept;"gye-to-mu"
accepted;"agye ato mu"
access denied;"amma kwan"
access permissions;"akwanma"
access privileges;"ndɔboa akwanma"
access rights;"akwanma tumi"
access speed;"akwanma mbere"
access time;"akwanma bere"
access;"nya-kwan"
accessed;"amakwan"
accessibility keyboard plugin;""
accessibility keyboard;""
accessibility;"hokwanma"
accessible;"hokwanma"
accessing;"refrɛ"
accessories;""
accessory;"nkaho"
account information;"akawnt ho nsɛm"
account name;"akawnt din"
account settings;"akawnt nhyehyɛe"
account;"akawnt"
accounts;""
accuracy;""
acquire;""
acronym;"akrɔnem"
action;"dwumadi"
activatable;""
activate;"kenyan"
activated;"akenyan"
activating;"ɛɛkenyan"
activation;"ɛnkenyan"
active cell;""
active document;"dɔkumɛnt enisiso"
active link;"link enisiso"
active plugins;""
active window;""
active;"si-so"
activity indicator;""
activity;"hyewbɔ"
actor;""
actuator;""
acute;"akiyut"
adapt;""
adapter;""
adaptive;""
adaptor;"adapta"
add bookmark;""
add buddy;""
add chat;""
add files;""
add group;""
add new;"fa foforo bataho"
add or remove;""
add sender to address book;""
add to panel;""
add user;""
add-in;""
add-on;"kaho"
add/edit;""
add/remove software;""
add;"fa bata"
added;"aka-ho"
adding;"reka"
additional;"nkaho"
address book properties;""
address book;"adrɛs buukuu"
address entry;""
address;"adrɛs"
addressee;"kɔ-adrɛs"
addresses;""
addressing;""
adjacent;"nkyɛn"
adjust;"fekyere"
adjustment;""
administration;"Krodi"
administrative;"nhwɛsoɔ nhyehyɛe"
administrator;"admin"
advance;"kɔ enim"
advanced options;"akɔenim ɔphyɛn"
advanced search;""
advanced send options;""
advanced settings;"nhyehyɛe a ɛkɔ nkan"
advanced;"akɔenim"
advisor;"fotufo"
africa;"Bibiman"
african;"Bibini"
age;"mfe"
agenda;"agyɛnda"
agent;"gyinamusini"
aggregate function;""
aggregate;""
aging;""
ago;"etwa mu"
agree;"yɛ adwen"
agreement;"agyetomu"
aim;""
aisleriot;""
alarm;""
alert box;"kɔkɔ adaka"
alert;"kɔkɔ"
algorithm;""
alias;"alias / nsiananmu"
aliasing;"ananmusi"
align;"ayɛ pɛr"
aligned;"hyehyɛ pɛ"
alignment;"nhyehyɛe pɛr"
all caps;"Akɛseɛ nkoaa"
all day;""
all files;""
all message headers;""
all messages;""
all;"nyinaa"
allocate (memory);"fa ma"
allocation (memory);"mfamae"
allow pop-ups from this site;"ma kwan ma nneɛma foforo mpue"
allow;"ma kwan"
allowed;"maakwan"
alpha channel;""
alpha;""
alphabet;"alfabɛt"
alphabetical;"alfabɛt-nhyehyɛekwanso"
alphanumeric;"alfa-nɔmba"
already exists;""
also used as a synonym to active.;""
alt key;"ɔlt baten"
alt;""
alter;"sesa"
alternate;"foforo / ɛkaho"
alternative display;""
alternative text;"nkyerɛwee foforo"
alternative;""
always ask;"bisa bere biara"
always on top;"wɔ soro bere biara"
ambient;""
amount;"dodow"
ampersand;"ampɛsand"
analog;"analɔg"
analysis;"nhwehwɛmu"
analyst;""
analyze;"hwehwɛ mu"
anchor;"ankɔ"
and/or;"ne/anaaso"
and;""
angle bracket;"brakɛt nkwankyɛn"
angle;"kwanyɛn"
angled line;""
animate;"tu-mfonin-mirika"
animated image;""
animated;"mfonin-etu-mirika"
animation;"mfonin-mirikatu"
anniversary;""
annotation;"tɛkst-nyiano"
announce;"bɔ ho dawuru"
announcement;"nkaebɔ"
annoy;""
annoying;""
anonymity;"din-nsiei"
anonymous;"din-esie"
anonymously;"esie-din"
answer mode;""
answer;"nyiano"
antenna;"antɛna"
anti virus;""
anti-aliasing;"nsiesie"
anti-glare screen;""
anti-virus program;"anti-vaerɔs"
antialiasing;""
any category;""
any field;""
any key;"safowa biara"
appear;"da edi"
appearance;"enisoade"
appears in;"da edi wɔ"
append;"fa hyɛ toɔ"
appended;"ɛhyɛ toɔ / wɔde ahyɛ toɔ"
applet popup menu;""
applet;"aplɛt"
applicable;"ɛfa-ho"
application launcher;""
application;"aplekehyɛn"
applications;""
applied;"ahyɛ"
applix;""
apply filters;""
apply;"hyɛ"
appointment;"nhyiam nhyehyɛe"
approach;""
approval;""
approve;""
approved;"woagye atum"
approximate;"aprɔgsimet"
approximately;"aprɔgsimetly"
april;"Oforisuo"
arabic;"Arabia"
arbitrary;""
arc;""
archive file;""
archive manager;""
archive;"esiei"
area grid;""
area;""
argument;"aba"
arrange items;""
