3-d;"3-D"
3d;""
a.m./p.m.;""
abbreviation;"អក្សរ​សង្ខេប"
abort;"បោះបង់"
aborted;""
aborting;""
about gnome;""
about me;""
about mozilla firefox;""
about panels;""
about;""
above;"ខាង​លើ"
absolute link;"តំណ​ពេញលេញ"
absolute path;"ផ្លូវ​ពេញលេញ"
absolute url;"URL ពេញលេញ"
absolute value;"តម្លៃ​ដាច់​ខាត"
absolute;"ដាច់​ខាត"
abstract;"អរូបី"
accelerator board;"បន្ទះ​បង្កើន​ល្បឿន"
accelerator card;"មើល Accelerator Board"
accelerator key;"មើល Shortcut Key"
accelerator;""
accent;"សង្កត់​​សម្លេង"
accept all;""
accept;"យល់ព្រម"
accepted;""
access denied;""
access permissions;""
access privileges;"សិទ្ធិ​ចូល​ដំណើរការ"
access rights;"មើល Access Privileges"
access speed;"ល្បឿន​ដំណើរការ"
access time;"រយៈពេល​ដំណើរការ"
access;"ចូល​ដំណើរការ"
accessed;""
accessibility keyboard plugin;""
accessibility keyboard;""
accessibility;"មធ្យោបាយ​ងាយស្រួល"
accessible;"អាច​ចូល​ដំណើរការ​បាន"
accessing;""
accessories;""
accessory;"ប្រដាប់​ប្រដា"
account information;""
account name;""
account settings;""
account;"គណនី"
accounts;""
accuracy;""
acquire;""
acronym;""
action;"អំពើ"
activatable;""
activate;"ធ្វើ​ឲ្យ​សកម្ម"
activated;""
activating;""
activation;""
active cell;"ក្រឡា​សកម្ម"
active document;""
active link;""
active plugins;""
active window;"បង្អួច​សកម្ម"
active;"សកម្ម"
activity indicator;"ទ្រនិច​បង្ហាញ​សកម្មភាព"
activity;"សកម្មភាព"
actor;""
actuator;""
acute;""
adapt;"សម្រួល"
adapter;""
adaptive;"អាច​ប្រែប្រួល"
adaptor;"អាដាប់ទ័រ"
add bookmark;""
add buddy;""
add chat;""
add files;""
add group;""
add new;""
add or remove;""
add sender to address book;""
add to panel;""
add user;""
add-in;"កម្មវិធី​បន្ថែម"
add-on;"មើល Add-In"
add/edit;""
add/remove software;""
add;"បន្ថែម"
added;""
adding;""
additional;""
address book properties;""
address book;"សៀវភៅ​អាសយដ្ឋាន"
address entry;""
address;"អាសយដ្ឋាន"
addressee;"អ្នក​ទទួល​សំបុត្រ"
addresses;""
addressing;"ការ​បំពេញ​អាសយដ្ឋាន"
adjacent;"ជាប់​គ្នា"
adjust;"លៃតម្រូវ"
adjustment;""
administration;"ការ​គ្រប់គ្រង"
administrative;""
administrator;"អ្នក​គ្រប់គ្រង"
advance;"ទៅមុខ"
advanced options;""
advanced search;""
advanced send options;""
advanced settings;""
advanced;"កម្រិត​ខ្ពស់"
advisor;"ទីប្រឹក្សា"
africa;""
african;""
age;""
agenda;"របៀបវារៈ"
agent;"ភ្នាក់ងារ"
aggregate function;"អនុគមន៍​​ផ្ដុំ"
aggregate;""
aging;"ចាស់"
ago;""
agree;"យល់ព្រម"
agreement;"កិច្ច​ព្រមព្រៀង"
aim;""
aisleriot;""
alarm;""
alert box;"ប្រអប់​ព្រមាន"
alert;"សញ្ញា​ព្រមាន"
algorithm;"ក្បួន​ដោះស្រាយ"
alias;"ឈ្មោះ​ក្លែងក្លាយ"
aliasing;"រឆេត​រឆូត"
align;"តម្រឹម"
aligned;""
alignment;""
all caps;""
all day;""
all files;""
all message headers;""
all messages;""
all;""
allocate (memory);"បម្រុងទុក"
allocation (memory);"ការ​បម្រុងទុក"
allow pop-ups from this site;""
allow;"អនុញ្ញាត"
allowed;""
alpha channel;""
alpha;""
alphabet;""
alphabetical;"តាម​លំដាប់​អក្សរក្រម"
alphanumeric;"អក្សរ​ក្រម​លេខ"
already exists;""
also used as a synonym to active.;""
alt key;""
alt;""
alter;"ប្ដូរ"
alternate;"ជំនួស"
alternative display;"បង្ហាញ​ជំនួស"
alternative text;"អត្ថបទ​ជំនួស"
alternative;""
always ask;""
always on top;""
ambient;"ដែល​ព័ទ្ធ​ជុំវិញ"
amount;""
ampersand;""
analog;"អាណាឡូក"
analysis;"វិភាគ"
analyst;"អ្នក​វិភាគ"
analyze;"ធ្វើ​វិភាគ"
anchor;"បោះ​យុថ្កា"
and/or;""
and;""
angle bracket;"តង្កៀប​មុំ"
angle;"មុំ"
angled line;"បន្ទាត់​កាច់"
animate;""
animated image;""
animated;""
animation;"ចលនា"
anniversary;""
annotation;"ចំណារ​ពន្យល់"
announce;"ប្រកាស"
announcement;"សេចក្ដី​ប្រកាស"
annoy;"រំខាន"
annoying;"ដែល​រំខាន"
anonymity;""
anonymous;"អនាមិក"
anonymously;""
answer mode;""
answer;""
antenna;"អង់តែន"
anti virus;""
anti-aliasing;"ប្រឆាំង​រឆេត​រឆូត"
anti-glare screen;"អេក្រង់​ប្រឆាំង​ពន្លឺ"
anti-virus program;"កម្មវិធី​ប្រឆាំង​មេរោគ"
antialiasing;""
any category;""
any field;""
any key;""
appear;"លេចឡើង"
appearance;"រូបរាង"
