3-d;"etando mísátoabbreviation"
3d;""
a.m./p.m.;""
abbreviation;""
abort;"kosundola above"
aborted;"étíkámí"
aborting;"kosundola accept all"
about gnome;""
about me;""
about mozilla firefox;""
about panels;""
about;"etalí"
above;""
absolute link;""
absolute path;"molalo molaí"
absolute url;"adɛlɛ́sɛ Ɛtɛnɛ́tɛ molaí"
absolute value;""
absolute;""
abstract;""
accelerator board;""
accelerator card;""
accelerator key;""
accelerator;"lombángu"
accent;"ekɔti"
accept all;""
accept;"koyamba"
accepted;"endimámí"
access denied;"liyíngeli ebóyámí"
access permissions;"ndingisa lia liyíngeli"
access privileges;"matómba ma liyíngeli"
access rights;"makokí ma liyíngeli"
access speed;"lobángu lia liyíngeli"
access time;"ntángo ya liyíngeli"
access;"koyíngela"
accessed;"éyíngélí"
accessibility keyboard plugin;""
accessibility keyboard;""
accessibility;"boyíngelami"
accessible;"boyíngeli"
accessing;"koyíngela na"
accessories;""
accessory;"mbukambuka"
account information;"liyébísí lia konti"
account name;"nkómbó ya konti"
account settings;"palamɛ́tɛlɛ ya konti"
account;"konti"
accounts;""
accuracy;""
acquire;""
acronym;"akrɔnimi"
action;"ekelá"
activatable;""
activate;"kolamuisa"
activated;"élámuísamí"
activating;"kolamuisa"
activation;"bolamuisi"
active cell;""
active document;"dokimá ngâ"
active link;"ekangisele ngâ"
active plugins;""
active window;""
active;"ngâ"
activity indicator;""
activity;"mosálá"
actor;""
actuator;""
acute;"ekɔti ya bogángi"
adapt;""
adapter;""
adaptive;""
adaptor;"longibini"
add bookmark;""
add buddy;""
add chat;""
add files;""
add group;""
add new;"kobakisa sika"
add or remove;""
add sender to address book;""
add to panel;""
add user;""
add-in;""
add-on;"ebakisi"
add/edit;""
add/remove software;""
add;"kobakisa"
added;"ya kobakisa"
adding;"kobakisa"
additional;"ya bobakisi"
address book properties;""
address book;"búku ya adɛ́lɛsɛ"
address entry;""
address;"adɛ́lɛsɛ"
addressee;"motíndami"
addresses;""
addressing;""
adjacent;"ya pɛnɛ, ya kangɛma"
adjust;"koɛ́ngɛbinia na"
adjustment;""
administration;"boyángeli"
administrative;"ya boyángeli"
administrator;"moyángeli"
advance;"kotámba"
advanced options;"mapɔni mapúsání"
advanced search;""
advanced send options;""
advanced settings;"palamɛtɛ́lɛ mapúsání"
advanced;"épúsání, ya likoló"
advisor;"molakélí"
africa;"Afrika"
african;"moí-Afrika"
age;"mbúla"
agenda;"manáka"
agent;"mosáleli"
aggregate function;""
aggregate;""
aging;""
ago;"elekí"
agree;"kondimana, koyókana"
agreement;"bondimani"
aim;""
aisleriot;""
alarm;""
alert box;"lininísa lia bokébisi"
alert;"bokébisi"
algorithm;""
alias;"alíasi"
aliasing;"lisumáne"
align;"kotía alimá"
aligned;"ébɔngísámí molɔngɔ́"
alignment;"alimá"
all caps;"niɔ́sɔ na likomá monɛ́nɛ"
all day;""
all files;""
all message headers;""
all messages;""
all;"niɔ́sɔ"
allocate (memory);"kokaba mɛmúalɛ"
allocation (memory);"bokabi mɛmúalɛ"
allow pop-ups from this site;"kopésa nzéla na baibai na sitɛ eye"
allow;"kolingisa"
allowed;"élíngísámí"
alpha channel;""
alpha;""
alphabet;"afabɛ"
alphabetical;"afabɛtíki"
alphanumeric;"afánimeríki"
already exists;""
also used as a synonym to active.;""
alt key;"túsi-ebaloli"
alt;""
alter;"kobóngola"
alternate;"na ngala"
alternative display;""
alternative text;"nkomá ya ngala"
alternative;"ngala"
always ask;"kotúna ntángo ínsɔ"
always on top;"ntángo ínsɔ o likoló"
ambient;""
amount;"boíké"
ampersand;"ná"
analog;"analozíki"
analysis;"litandoleli"
analyst;""
analyze;"kotandolela"
anchor;"ebaki"
and/or;"na/tǒ"
and;""
angle bracket;"kroshɛ́ ya mbata"
angle;"mbata"
angled line;""
animate;"koningana"
animated image;""
animated;"énígámí"
animation;"loningisa"
anniversary;""
annotation;"nkomá ekɛ́"
announce;"koyébisa"
announcement;"nsango, liyébisi"
annoy;""
annoying;""
anonymity;"bonkánga"
anonymous;"sóngóló"
anonymously;"na sóngóló"
answer mode;""
answer;"eyano"
antenna;"monzombá, atɛnɛ"
anti virus;""
anti-aliasing;"lisumáne tɛ̌"
anti-glare screen;""
anti-virus program;"etámbuisi ya bobomi virísɛ"
antialiasing;""
any category;""
any field;""
any key;"túsi atâ níni"
appear;"komónana"
appearance;"bolambasani, bomónani"
appears in;"komónana na"
append;"kobákema"
appended;"ebákémí"
applet popup menu;""
applet;"aplikɛ́tɛ"
applicable;"ebɔngélí"
application launcher;""
application;"esáliseli, litámbuisi-mosálá"
applications;""
applied;"edímísámí"
applix;""
apply filters;""
apply;"kondimisa, kotósisa"
appointment;"bokútani"
approach;""
approval;""
approve;""
approved;"edímámí"
approximate;"epúsání pɛnɛ na"
approximately;"ya kopúsana pɛnɛ na"
april;"sánzá ya ínei, apríli"
arabic;"Arabi"
